Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Mitochondrial Translation Elongation R-HSA-5389840,-0.5701477257654822,-2.0561054059216124,0.0,0.8870978092072335,0.306,64/82,35.62%,MRPL53;MRPL12;MRPL14;MRPL21;MRPS25;MRPL52;MRPL40;MRPL47;MRPL15;MRPS30;MRPS10;MRPS14;GADD45GIP1;MRPS26;MRPL54;MRPS6;MRPL23;MRPL20;MRPL11;MRPS22;MRPS17;MRPL24;AURKAIP1;MRPL10;MRPL3;MRPL16;CHCHD1;MRPS21;MRPL51;MRPS23;MRPS33;MRPS5;MRPS16;MRPL36;MRPS2;MRPS11;MRPS18C;MRPL18;MRPL48;MRPL58;MRPL35;MRPL41;MRPS18B;MRPS34;MRPL55;MRPL4;MRPL17;MRPS24;MRPL46;MRPL34;MRPL13;MRPL43;MRPS18A;MRPL42;MRPL38;MRPL44;MRPL57;MRPL9;MRPS35;ERAL1;MRPL19;MRPL45;MRPL37;MRPS7
prerank,Mitochondrial Translation Initiation R-HSA-5368286,-0.5734836128383884,-2.0555074497226693,0.0015384615384615385,0.44354890460361673,0.306,65/82,35.62%,MRPL53;MRPL12;MRPL14;MRPL21;MRPS25;MRPL52;MRPL40;MRPL47;MRPL15;MRPS30;MRPS10;MRPS14;GADD45GIP1;MRPS26;MRPL54;MRPS6;MRPL23;MRPL20;MRPL11;MRPS22;MRPS17;MRPL24;AURKAIP1;MRPL10;MRPL3;MRPL16;CHCHD1;MRPS21;MRPL51;MRPS23;MRPS33;MRPS5;MRPS16;MRPL36;MRPS2;MRPS11;MRPS18C;MRPL18;MRPL48;MRPL58;MRPL35;MRPL41;MRPS18B;MRPS34;MRPL55;MRPL4;MRPL17;MRPS24;MRPL46;MTIF3;MRPL34;MRPL13;MRPL43;MRPS18A;MRPL42;MRPL38;MRPL44;MRPL57;MRPL9;MRPS35;ERAL1;MRPL19;MRPL45;MRPL37;MRPS7
prerank,Mitochondrial Translation Termination R-HSA-5419276,-0.5636828969750327,-2.024831142552952,0.0,0.34344238099516156,0.332,65/82,35.62%,MRPL53;MRPL12;MRPL14;MRPL21;MRPS25;MRPL52;MRPL40;MRPL47;MRPL15;MRPS30;MRPS10;MRPS14;GADD45GIP1;MRPS26;MRPL54;MRPS6;MRPL23;MRPL20;MRPL11;MRPS22;MRPS17;MRPL24;AURKAIP1;MRPL10;MRPL3;MRPL16;CHCHD1;MRPS21;MRPL51;MRPS23;MRPS33;MRPS5;MRPS16;MRPL36;MRPS2;MRPS11;MRPS18C;MRPL18;MRPL48;MRPL58;MRPL35;MRPL41;MRPS18B;MRPS34;MRPL55;MRPL4;MRPL17;MRPS24;MRPL46;MRPL34;MRPL13;MRPL43;GFM2;MRPS18A;MRPL42;MRPL38;MRPL44;MRPL57;MRPL9;MRPS35;ERAL1;MRPL19;MRPL45;MRPL37;MRPS7
prerank,Mitochondrial Translation R-HSA-5368287,-0.5551400319971964,-2.0154356707033743,0.0,0.26890152341594264,0.344,66/88,35.62%,MRPL53;MRPL12;MRPL14;MRPL21;MRPS25;MRPL52;MRPL40;MRPL47;MRPL15;MRPS30;MRPS10;MRPS14;GADD45GIP1;MRPS26;MRPL54;MRPS6;MRPL23;MRPL20;MRPL11;MRPS22;MRPS17;MRPL24;AURKAIP1;MRPL10;MRPL3;MRPL16;CHCHD1;MRPS21;MRPL51;MRPS23;MRPS33;MRPS5;MRPS16;MRPL36;MRPS2;MRPS11;MRPS18C;MRPL18;MRPL48;MRPL58;MRPL35;MRPL41;MRPS18B;MRPS34;MRPL55;MRPL4;MRPL17;MRPS24;MRPL46;MTIF3;MRPL34;MRPL13;MRPL43;GFM2;MRPS18A;MRPL42;MRPL38;MRPL44;MRPL57;MRPL9;MRPS35;ERAL1;MRPL19;MRPL45;MRPL37;MRPS7
prerank,Transcriptional Regulation By MECP2 R-HSA-8986944,0.5465077010720045,1.9692321950712859,0.0,0.2247609827601295,0.149,18/46,19.15%,CAMK4;GAD1;TNRC6C;DLL1;SIN3A;MOV10;GRIN2A;TNRC6A;IRAK1;NCOR2;HIPK2;GPRIN1;PTPN1;TNRC6B;CAMK2D;DGCR8;MECP2;AGO2
prerank,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,0.6047433987795721,1.9375126493210864,0.0,0.16433529141506956,0.206,16/31,16.55%,RUNX1;TNRC6C;PRKCQ;SETD1B;KMT2C;KMT2A;EP300;SIN3A;SIN3B;MOV10;TNRC6A;KMT2D;KMT2B;MYL9;SETD1A;TNRC6B
prerank,Intraflagellar Transport R-HSA-5620924,-0.6093271722818682,-1.9226042850834677,0.007911392405063292,0.31584378248649203,0.442,16/36,16.19%,KIF17;DYNLRB2;IFT27;IFT22;IFT46;WDR35;CLUAP1;TTC26;IFT43;IFT122;KIFAP3;DYNLL1;DYNC2H1;IFT140;IFT81;KIF3A
prerank,Telomere Extension By Telomerase R-HSA-171319,-0.6756901226453487,-1.8871578060732768,0.0015822784810126582,0.30108962100696895,0.483,13/20,25.03%,CCNA1;RUVBL1;RUVBL2;CDK2;NOP10;SHQ1;ACD;GAR1;TINF2;NHP2;TERF2IP;DKC1;POT1
prerank,Heme Signaling R-HSA-9707616,0.5643561374318515,1.8836369991977118,0.002631578947368421,0.21045458854759197,0.342,10/36,10.76%,PPARGC1A;CRTC2;GDNF;NPAS2;LY96;EP300;NCOA6;MAFK;CARM1;NRIP1
prerank,Diseases Associated With Glycosaminoglycan Metabolism R-HSA-3560782,-0.661165020252893,-1.877659330145876,0.0016638935108153079,0.2703536180441092,0.503,3/20,1.41%,LUM;AGRN;BGN
